Site,Year,ppt,tmin,tmean,tmax,dew,vpdmin,vpdmax
Kearney Broadfoot South,2010,25.37,38.6,50.2,61.9,39.6,0.85,12.95
Kearney Broadfoot South,2011,32.43,37.2,49.3,61.4,37.3,1.2,13.38
Kearney Broadfoot South,2012,14.3,39.1,53.2,67.2,38.4,1.39,18.31
Kearney Broadfoot South,2013,23.49,37.4,49.6,61.7,38,0.98,14.17
Kearney Broadfoot South,2014,25.14,36.6,49,61.4,36.9,1.05,13.53
Kearney Broadfoot South,2015,24.34,39.7,51.9,64.1,39.5,1.22,14.3
Kearney Broadfoot South,2016,22.53,40.6,52.9,65.1,40.3,1.25,14.95
Kearney Broadfoot South,2017,27.99,39.7,51.9,64.1,39.3,1.19,14.77
Kearney Broadfoot South,2018,30.24,37.9,49.1,60.2,39.8,0.74,11.85
Kearney Broadfoot South,2019,38.17,38.6,49.1,59.6,39.5,0.83,11.16
Kearney Broadfoot South,2020,20.56,38.9,51,63.2,39.3,1.04,14.14
Kearney Broadfoot South,2021,28.31,39.8,51.4,63,40.1,1.05,13.44
Kearney Broadfoot South,2022,17.9,36.9,50.3,63.7,35.5,1.26,15.85
Kearney Broadfoot South,2023,23.85,38.8,50.7,62.7,39.9,0.86,13.27
Kearney Broadfoot South,2024,26.4,40.1,52.2,64.3,40.3,0.96,14.12
Kearney Broadfoot South,2025,22.2,39.2,51.4,63.7,40,0.88,13.74
Newark East,2010,27.49,38.7,50.2,61.7,39.6,0.88,12.9
Newark East,2011,29.9,37.5,49.4,61.3,37.1,1.33,13.44
Newark East,2012,13.88,39.5,53.3,67.2,38.4,1.45,18.28
Newark East,2013,25.55,37.6,49.6,61.6,38,1.02,14.05
Newark East,2014,25.62,36.9,49.1,61.4,36.9,1.11,13.51
Newark East,2015,29.23,39.9,52,64.1,39.4,1.3,14.28
Newark East,2016,23.14,40.8,53,65.1,40.4,1.32,14.97
Newark East,2017,27.56,39.9,52,64,39.3,1.26,14.68
Newark East,2018,31.47,38.2,49.2,60.1,39.8,0.8,11.82
Newark East,2019,36.01,38.9,49.3,59.6,39.5,0.91,11.11
Newark East,2020,18.22,39.2,51.1,63,39.3,1.12,14.06
Newark East,2021,27.06,40.1,51.5,62.9,40.2,1.11,13.31
Newark East,2022,19.45,37.2,50.5,63.7,35.7,1.31,15.74
Newark East,2023,24.91,38.8,50.7,62.7,39.9,0.86,13.23
Newark East,2024,27.46,39.8,51.8,63.8,40.3,0.91,13.71
Newark East,2025,25.83,39,51.1,63.3,40.1,0.78,13.24
Newark West,2010,27.49,38.7,50.2,61.7,39.6,0.88,12.9
Newark West,2011,29.9,37.5,49.4,61.3,37.1,1.33,13.44
Newark West,2012,13.88,39.5,53.3,67.2,38.4,1.45,18.28
Newark West,2013,25.55,37.6,49.6,61.6,38,1.02,14.05
Newark West,2014,25.62,36.9,49.1,61.4,36.9,1.11,13.51
Newark West,2015,29.23,39.9,52,64.1,39.4,1.3,14.28
Newark West,2016,23.14,40.8,53,65.1,40.4,1.32,14.97
Newark West,2017,27.56,39.9,52,64,39.3,1.26,14.68
Newark West,2018,31.47,38.2,49.2,60.1,39.8,0.8,11.82
Newark West,2019,36.01,38.9,49.3,59.6,39.5,0.91,11.11
Newark West,2020,18.22,39.2,51.1,63,39.3,1.12,14.06
Newark West,2021,27.06,40.1,51.5,62.9,40.2,1.11,13.31
Newark West,2022,19.45,37.2,50.5,63.7,35.7,1.31,15.74
Newark West,2023,24.91,38.8,50.7,62.7,39.9,0.86,13.23
Newark West,2024,27.46,39.8,51.8,63.8,40.3,0.91,13.71
Newark West,2025,25.83,39,51.1,63.3,40.1,0.78,13.24
Leaman,2010,31.63,39.3,50.5,61.6,39.9,0.99,13
Leaman,2011,26.95,38.3,49.9,61.5,38.4,1.09,13.27
Leaman,2012,16.96,40.5,54,67.4,39,1.61,18.48
Leaman,2013,28.93,38.2,49.9,61.5,38.3,1.14,13.92
Leaman,2014,29.01,37.4,49.5,61.6,37.1,1.25,13.62
Leaman,2015,31.1,40.4,52.2,64.1,40.4,1.1,13.91
Leaman,2016,26.47,41.3,53.1,65,41.4,1.19,14.51
Leaman,2017,33.88,40.4,52.2,64,40.2,1.17,14.37
Leaman,2018,33.89,38.5,49.5,60.5,40.1,0.78,12
Leaman,2019,38.55,39.4,49.5,59.6,39.9,0.91,10.84
Leaman,2020,18.98,39.3,50.9,62.4,39.8,1.04,13.17
Leaman,2021,27.75,40.1,51.2,62.4,40.5,1.01,12.72
Leaman,2022,17.06,37.1,50.2,63.3,36,1.23,15.25
Leaman,2023,20.45,39.2,51.1,62.9,40.3,0.81,13.39
Leaman,2024,31.7,40.2,52.2,64.2,40.7,0.89,13.64
Leaman,2025,26.31,39.6,51.5,63.5,40.3,0.9,13.38
Cottonwood Ranch,2010,28.33,38.2,50.3,62.3,39.6,0.84,13.36
Cottonwood Ranch,2011,30.09,36.8,49.3,61.7,37.8,0.84,13.58
Cottonwood Ranch,2012,14.02,38.6,53.1,67.5,37.9,1.38,18.95
Cottonwood Ranch,2013,21.04,36.9,49.6,62.3,37.8,0.95,14.92
Cottonwood Ranch,2014,23.3,35.8,48.7,61.5,36.9,0.89,13.73
Cottonwood Ranch,2015,27.08,38.9,51.6,64.2,39.9,0.92,14.37
Cottonwood Ranch,2016,24.41,39.8,52.5,65.2,40.3,1.07,14.92
Cottonwood Ranch,2017,25.25,38.9,51.7,64.4,39.2,1.05,15.34
Cottonwood Ranch,2018,34.31,37.5,49.2,60.8,39.6,0.72,12.45
Cottonwood Ranch,2019,37.55,37.9,48.9,60,39.2,0.75,11.51
Cottonwood Ranch,2020,17.24,38.5,51.1,63.7,39,1,14.77
Cottonwood Ranch,2021,31.3,39.1,51.2,63.2,39.7,0.94,13.79
Cottonwood Ranch,2022,17.45,35.9,50,64.1,35,1.17,16.53
Cottonwood Ranch,2023,25.63,37.7,50.3,62.9,39.5,0.68,13.52
Cottonwood Ranch,2024,30.49,39.3,51.9,64.5,40.2,0.77,13.94
Cottonwood Ranch,2025,24.04,37.9,51.2,64.4,39.6,0.64,14.48
Dyer,2010,29.18,38.2,50.3,62.3,39.7,0.82,13.34
Dyer,2011,30.3,36.8,49.3,61.8,37.9,0.82,13.54
Dyer,2012,14.23,38.6,53,67.5,38,1.37,18.86
Dyer,2013,20.73,36.8,49.6,62.4,37.9,0.93,14.94
Dyer,2014,23.1,35.7,48.6,61.5,37,0.85,13.65
Dyer,2015,27.13,38.9,51.5,64.2,40,0.89,14.33
Dyer,2016,24.04,39.8,52.5,65.2,40.4,1.07,14.9
Dyer,2017,24.78,38.9,51.7,64.5,39.2,1.05,15.41
Dyer,2018,33.89,37.5,49.2,60.9,39.6,0.73,12.5
Dyer,2019,36.28,37.7,48.9,60,39.1,0.72,11.5
Dyer,2020,16.87,38.4,51.1,63.7,39,0.98,14.78
Dyer,2021,30.46,39.1,51.2,63.3,39.6,0.92,13.87
Dyer,2022,16.74,35.9,50,64.1,35,1.18,16.56
Dyer,2023,26.29,38,50.5,62.9,39.5,0.77,13.67
Dyer,2024,30.05,39.6,52.2,64.7,40.2,0.85,14.25
Dyer,2025,24.54,38.1,51.2,64.4,39.7,0.67,14.5
OSG Lexington,2010,23.3,38.1,50.3,62.5,40.1,0.71,13.27
OSG Lexington,2011,28.07,36.7,49.2,61.7,38.4,0.59,13.13
OSG Lexington,2012,11.37,38.4,53,67.6,38,1.26,18.92
OSG Lexington,2013,19.12,36.8,49.7,62.7,38.1,0.87,15.06
OSG Lexington,2014,25.16,35.3,48.6,61.8,37.4,0.71,13.7
OSG Lexington,2015,25.83,38.7,51.5,64.3,40.6,0.73,14.03
OSG Lexington,2016,27.22,39.5,52.4,65.3,40.4,1.05,14.82
OSG Lexington,2017,26,38.8,51.7,64.7,39.3,1,15.52
OSG Lexington,2018,30.56,37.6,49.4,61.1,39.5,0.81,12.78
OSG Lexington,2019,36.58,37.7,48.9,60.2,39.2,0.81,11.63
OSG Lexington,2020,16.2,37.9,50.9,63.9,38.7,0.97,14.91
OSG Lexington,2021,22.44,38.7,51.1,63.6,39.2,0.94,14.32
OSG Lexington,2022,13.48,36,50.2,64.4,34.8,1.21,17.17
OSG Lexington,2023,22.72,38.2,50.6,62.9,39.3,0.9,13.92
OSG Lexington,2024,29.6,39.9,52.3,64.6,40,0.96,14.28
OSG Lexington,2025,24.6,38.2,51.3,64.4,39.3,0.79,14.58
NPPD Lexington,2010,23.32,38.2,50.3,62.3,40.1,0.73,13.13
NPPD Lexington,2011,28.26,36.9,49.3,61.7,38.3,0.67,13.15
NPPD Lexington,2012,11.32,38.6,53,67.4,38,1.3,18.63
NPPD Lexington,2013,19.29,36.7,49.6,62.5,38.1,0.85,14.84
NPPD Lexington,2014,25.06,35.1,48.3,61.4,37.3,0.69,13.38
NPPD Lexington,2015,25.59,38.6,51.3,64,40.6,0.72,13.88
NPPD Lexington,2016,27.22,39.7,52.4,65.2,40.4,1.07,14.75
NPPD Lexington,2017,24.98,38.8,51.7,64.5,39.3,1.03,15.43
NPPD Lexington,2018,30.27,37.6,49.3,61,39.5,0.82,12.61
NPPD Lexington,2019,36.87,37.5,48.8,60,39.1,0.77,11.6
NPPD Lexington,2020,16.18,38.1,51,63.9,38.7,1,15
NPPD Lexington,2021,22.82,38.9,51.2,63.6,39.3,0.96,14.42
NPPD Lexington,2022,13.57,36,50.2,64.4,34.8,1.21,17.13
NPPD Lexington,2023,23.95,38.3,50.7,63.1,39.3,0.9,14.06
NPPD Lexington,2024,29.34,39.9,52.4,64.8,40,0.97,14.43
NPPD Lexington,2025,25.04,38.3,51.4,64.4,39.3,0.81,14.55
Blue Hole,2010,26.86,38.3,50.3,62.2,39.6,0.85,13.33
Blue Hole,2011,31.52,36.8,49.3,61.7,37.7,0.9,13.64
Blue Hole,2012,14.8,38.7,53.1,67.5,38,1.38,18.93
Blue Hole,2013,23.14,37,49.6,62.2,37.8,0.98,14.84
Blue Hole,2014,24.17,36.1,48.8,61.6,36.8,0.96,13.81
Blue Hole,2015,26.06,39.2,51.7,64.2,39.7,1.01,14.42
Blue Hole,2016,25.83,40,52.6,65.2,40.3,1.1,14.97
Blue Hole,2017,27.41,39,51.7,64.3,39.2,1.07,15.21
Blue Hole,2018,35.12,37.5,49.1,60.7,39.7,0.68,12.29
Blue Hole,2019,38.63,38.1,49,59.9,39.3,0.76,11.39
Blue Hole,2020,17.91,38.6,51,63.5,39.1,1,14.51
Blue Hole,2021,31.27,39.3,51.2,63.1,39.8,0.95,13.61
Blue Hole,2022,17.62,36,50,63.9,35.1,1.19,16.31
Blue Hole,2023,25.2,38.1,50.5,62.8,39.6,0.75,13.4
Blue Hole,2024,30.67,39.7,52.1,64.5,40.2,0.87,14.11
Blue Hole,2025,23.62,38.4,51.3,64.2,39.7,0.71,14.38
Follmer,2010,30.74,39.3,50.4,61.5,39.8,1,13.1
Follmer,2011,26.42,38.4,49.9,61.5,38.4,1.1,13.35
Follmer,2012,16.71,40.6,54,67.4,39,1.64,18.6
Follmer,2013,26.63,38.3,49.8,61.4,38.4,1.13,13.84
Follmer,2014,32.13,37.4,49.5,61.5,37.1,1.24,13.59
Follmer,2015,29.87,40.4,52.1,63.9,40.4,1.09,13.78
Follmer,2016,26.65,41.3,53.1,64.8,41.5,1.18,14.45
Follmer,2017,35.09,40.4,52.1,63.8,40.3,1.13,14.26
Follmer,2018,31.78,38.6,49.5,60.4,40.1,0.8,12.04
Follmer,2019,46.01,39.5,49.5,59.6,39.9,0.94,10.92
Follmer,2020,19.78,39.5,51,62.5,39.9,1.11,13.24
Follmer,2021,28.15,40.4,51.5,62.5,40.6,1.18,12.93
Follmer,2022,17.76,37.4,50.4,63.5,36,1.32,15.45
Follmer,2023,19.86,39.5,51.3,63.1,40.3,0.94,13.73
Follmer,2024,31.32,40.6,52.4,64.2,40.7,0.99,13.75
Follmer,2025,25.95,39.7,51.5,63.4,40.3,0.92,13.15
